numer_sta,date,t,u,pres,tend24
7110,20200103060000,283.350000,95,101000,-230
7149,20200103060000,281.450000,91,101110,-480
7190,20200103060000,276.150000,92,100700,-600
7481,20200103060000,278.350000,88,99930,-300
7630,20200103060000,276.550000,98,101270,40
7690,20200103060000,280.650000,73,102590,-340
7015,20200103090000,283.150000,89,101240,-830
7110,20200103090000,282.950000,96,101280,60
7149,20200103090000,282.150000,95,101240,-370
7190,20200103090000,277.350000,91,100760,-560
7481,20200103090000,279.150000,88,100080,-220
7630,20200103090000,278.450000,98,101400,190
7690,20200103090000,282.150000,65,102620,-410
7015,20200103120000,283.150000,94,101330,-600
7110,20200103120000,282.050000,94,101650,530
7149,20200103120000,284.750000,81,101310,-240
7190,20200103120000,280.850000,82,100630,-570
7481,20200103120000,281.250000,82,100090,-110
7630,20200103120000,281.750000,87,101470,400
7690,20200103120000,285.550000,66,102450,-460
7015,20200103150000,282.250000,94,101620,-80
7110,20200103150000,281.850000,73,101880,970
7149,20200103150000,284.150000,86,101410,20
7190,20200103150000,282.750000,81,100730,-330
7481,20200103150000,283.050000,78,100060,30
7630,20200103150000,282.950000,84,101440,440
7690,20200103150000,285.650000,70,102320,-450
7015,20200103180000,280.550000,86,102120,510
7110,20200103180000,280.350000,73,102150,1350
7149,20200103180000,283.550000,90,101650,240
7190,20200103180000,281.950000,84,100860,-190
7481,20200103180000,280.950000,91,100200,150
7630,20200103180000,282.550000,86,101540,480
7690,20200103180000,282.350000,75,102250,-550
7015,20200103210000,278.850000,92,102440,910
7110,20200103210000,279.750000,78,102420,1660
7149,20200103210000,281.550000,86,101990,670
7190,20200103210000,281.350000,90,100940,-70
7481,20200103210000,279.250000,94,100270,290
7630,20200103210000,282.650000,93,101640,540
7690,20200103210000,281.450000,75,102170,-640
7015,20200104000000,276.050000,92,102570,1150
7110,20200104000000,278.050000,89,102530,1720
7149,20200104000000,280.650000,85,102220,910
7190,20200104000000,280.050000,94,100980,90
7481,20200104000000,279.650000,98,100290,330
7630,20200104000000,282.650000,91,101680,580
7690,20200104000000,280.350000,77,102070,-650
7015,20200104030000,275.350000,94,102640,1410
7110,20200104030000,275.650000,93,102560,1710
7149,20200104030000,277.650000,91,102320,1180
7190,20200104030000,280.750000,91,101170,380
7481,20200104030000,279.450000,98,100290,410
7630,20200104030000,282.650000,92,101660,490
7690,20200104030000,279.950000,76,102060,-520
7015,20200104060000,275.050000,95,102720,1550
7110,20200104060000,274.750000,96,102630,1630
7149,20200104060000,276.550000,94,102440,1330
7190,20200104060000,278.550000,84,101380,680
7481,20200104060000,279.150000,99,100310,380
7630,20200104060000,282.350000,90,101690,420
7690,20200104060000,279.250000,74,102120,-470
7015,20200104090000,276.050000,95,102740,1500
7110,20200104090000,278.050000,95,102730,1450
7149,20200104090000,276.850000,90,102540,1300
7190,20200104090000,277.850000,85,101530,770
7481,20200104090000,280.450000,100,100480,400
7630,20200104090000,282.550000,93,101830,430
7690,20200104090000,281.150000,64,102280,-340
7015,20200104120000,281.450000,77,102730,1400
7110,20200104120000,282.550000,72,102730,1080
7149,20200104120000,281.550000,76,102540,1230
7190,20200104120000,280.550000,76,101520,890
7481,20200104120000,281.650000,77,100440,350
7630,20200104120000,284.050000,79,101790,320
7690,20200104120000,286.350000,46,102170,-280
7015,20200104150000,280.850000,77,102790,1170
7110,20200104150000,282.550000,69,102630,750
7149,20200104150000,281.850000,69,102530,1120
7190,20200104150000,280.350000,68,101540,810
7481,20200104150000,280.550000,70,100510,450
7630,20200104150000,283.650000,75,101730,290
7690,20200104150000,288.550000,57,102120,-200
7015,20200104180000,279.050000,86,102910,790
7110,20200104180000,281.150000,73,102710,560
7149,20200104180000,280.950000,79,102570,920
7190,20200104180000,278.750000,77,101610,750
7481,20200104180000,278.050000,79,100600,400
7630,20200104180000,282.450000,85,101820,280
7690,20200104180000,282.650000,64,102070,-180
7015,20200104210000,279.150000,86,102980,540
7110,20200104210000,280.650000,75,102670,250
7149,20200104210000,280.650000,83,102610,620
7190,20200104210000,277.850000,90,101750,810
7481,20200104210000,277.050000,83,100670,400
7630,20200104210000,281.450000,86,101810,170
7690,20200104210000,282.650000,58,102050,-120
7015,20200105000000,279.450000,83,103030,460
7110,20200105000000,280.350000,80,102620,90
7149,20200105000000,280.050000,87,102650,430
7190,20200105000000,277.450000,93,101790,810
7481,20200105000000,275.350000,88,100640,350
7630,20200105000000,279.350000,87,101770,90
7690,20200105000000,282.150000,54,101960,-110
7015,20200105030000,279.050000,86,103020,380
7110,20200105030000,280.350000,81,102570,10
7149,20200105030000,279.650000,91,102600,280
7190,20200105030000,275.850000,93,101810,640
7481,20200105030000,274.050000,92,100640,350
7630,20200105030000,277.450000,96,101690,30
7690,20200105030000,281.150000,56,102020,-40
7015,20200105060000,278.550000,90,102990,270
7110,20200105060000,280.150000,83,102500,-130
7149,20200105060000,279.350000,93,102620,180
7190,20200105060000,273.550000,99,101850,470
7481,20200105060000,272.650000,93,100620,310
7630,20200105060000,275.050000,94,101680,-10
7690,20200105060000,280.950000,55,102130,10
7015,20200105090000,279.050000,87,103020,280
7110,20200105090000,279.850000,81,102460,-270
7149,20200105090000,279.850000,93,102620,80
7190,20200105090000,274.350000,100,101880,350
7481,20200105090000,274.350000,95,100630,150
7630,20200105090000,275.650000,100,101670,-160
7690,20200105090000,283.250000,49,102360,80
7015,20200105120000,280.350000,83,102950,220
7110,20200105120000,280.650000,78,102370,-360
7149,20200105120000,281.750000,84,102510,-30
7190,20200105120000,277.850000,88,101810,290
7481,20200105120000,277.550000,86,100470,30
7630,20200105120000,276.150000,98,101490,-300
7690,20200105120000,288.250000,68,102390,220
7015,20200105150000,280.650000,88,102870,80
